   NID    (HEX)    NODENAME     TYPE    STATUS        MODE
   324    0x144  c1-0c2s1n0  compute        up       batch
   325    0x145  c1-0c2s1n1  compute        up       batch
   326    0x146  c1-0c2s1n2  compute        up       batch
   327    0x147  c1-0c2s1n3  compute        up       batch
   328    0x148  c1-0c2s2n0  compute        up       batch
   329    0x149  c1-0c2s2n1  compute        up       batch
   330    0x14a  c1-0c2s2n2  compute        up       batch
   331    0x14b  c1-0c2s2n3  compute        up       batch
   332    0x14c  c1-0c2s3n0  compute        up       batch
   333    0x14d  c1-0c2s3n1  compute        up       batch
   334    0x14e  c1-0c2s3n2  compute        up       batch
   335    0x14f  c1-0c2s3n3  compute        up       batch
   336    0x150  c1-0c2s4n0  compute        up       batch
   337    0x151  c1-0c2s4n1  compute        up       batch
   338    0x152  c1-0c2s4n2  compute        up       batch
   339    0x153  c1-0c2s4n3  compute        up       batch
   340    0x154  c1-0c2s5n0  compute        up       batch
   341    0x155  c1-0c2s5n1  compute        up       batch
   342    0x156  c1-0c2s5n2  compute        up       batch
   343    0x157  c1-0c2s5n3  compute        up       batch
   344    0x158  c1-0c2s6n0  compute        up       batch
   345    0x159  c1-0c2s6n1  compute        up       batch
   346    0x15a  c1-0c2s6n2  compute        up       batch
   347    0x15b  c1-0c2s6n3  compute        up       batch
   348    0x15c  c1-0c2s7n0  compute        up       batch
   349    0x15d  c1-0c2s7n1  compute        up       batch
   350    0x15e  c1-0c2s7n2  compute        up       batch
   351    0x15f  c1-0c2s7n3  compute        up       batch
   352    0x160  c1-0c2s8n0  compute        up       batch
   353    0x161  c1-0c2s8n1  compute        up       batch
   354    0x162  c1-0c2s8n2  compute        up       batch
   355    0x163  c1-0c2s8n3  compute        up       batch
   356    0x164  c1-0c2s9n0  compute        up       batch
   357    0x165  c1-0c2s9n1  compute        up       batch
   358    0x166  c1-0c2s9n2  compute        up       batch
   359    0x167  c1-0c2s9n3  compute        up       batch
   360    0x168 c1-0c2s10n0  compute        up       batch
   361    0x169 c1-0c2s10n1  compute        up       batch
   362    0x16a c1-0c2s10n2  compute        up       batch
   363    0x16b c1-0c2s10n3  compute        up       batch
   364    0x16c c1-0c2s11n0  compute        up       batch
   365    0x16d c1-0c2s11n1  compute        up       batch
   366    0x16e c1-0c2s11n2  compute        up       batch
   367    0x16f c1-0c2s11n3  compute        up       batch
   368    0x170 c1-0c2s12n0  compute        up       batch
   369    0x171 c1-0c2s12n1  compute        up       batch
   370    0x172 c1-0c2s12n2  compute        up       batch
   371    0x173 c1-0c2s12n3  compute        up       batch
   372    0x174 c1-0c2s13n0  compute        up       batch
   373    0x175 c1-0c2s13n1  compute        up       batch
   374    0x176 c1-0c2s13n2  compute        up       batch
   375    0x177 c1-0c2s13n3  compute        up       batch
   376    0x178 c1-0c2s14n0  compute        up       batch
   377    0x179 c1-0c2s14n1  compute        up       batch
   378    0x17a c1-0c2s14n2  compute        up       batch
   379    0x17b c1-0c2s14n3  compute        up       batch
   380    0x17c c1-0c2s15n0  compute        up       batch
   381    0x17d c1-0c2s15n1  compute        up       batch
   382    0x17e c1-0c2s15n2  compute        up       batch
   383    0x17f c1-0c2s15n3  compute        up       batch
   384    0x180  c2-0c0s0n0  compute        up       batch
   385    0x181  c2-0c0s0n1  compute        up       batch
   386    0x182  c2-0c0s0n2  compute        up       batch
   387    0x183  c2-0c0s0n3  compute        up       batch
   388    0x184  c2-0c0s1n0  compute        up       batch
   389    0x185  c2-0c0s1n1  compute        up       batch
   390    0x186  c2-0c0s1n2  compute        up       batch
   391    0x187  c2-0c0s1n3  compute        up       batch
   392    0x188  c2-0c0s2n0  compute        up       batch
   393    0x189  c2-0c0s2n1  compute        up       batch
   394    0x18a  c2-0c0s2n2  compute        up       batch
   395    0x18b  c2-0c0s2n3  compute        up       batch
   397    0x18d  c2-0c0s3n1  service        up       batch
   398    0x18e  c2-0c0s3n2  service        up       batch
   401    0x191  c2-0c0s4n1  service        up       batch
   402    0x192  c2-0c0s4n2  service        up       batch
   404    0x194  c2-0c0s5n0  compute        up       batch
   405    0x195  c2-0c0s5n1  compute        up       batch
   406    0x196  c2-0c0s5n2  compute        up       batch
   407    0x197  c2-0c0s5n3  compute        up       batch
   408    0x198  c2-0c0s6n0  compute        up       batch
   409    0x199  c2-0c0s6n1  compute        up       batch
   410    0x19a  c2-0c0s6n2  compute        up       batch
   411    0x19b  c2-0c0s6n3  compute        up       batch
   412    0x19c  c2-0c0s7n0  compute        up       batch
   413    0x19d  c2-0c0s7n1  compute        up       batch
   414    0x19e  c2-0c0s7n2  compute        up       batch
   415    0x19f  c2-0c0s7n3  compute        up       batch
   416    0x1a0  c2-0c0s8n0  compute        up       batch
   417    0x1a1  c2-0c0s8n1  compute        up       batch
   418    0x1a2  c2-0c0s8n2  compute        up       batch
   419    0x1a3  c2-0c0s8n3  compute        up       batch
   420    0x1a4  c2-0c0s9n0  compute        up       batch
   421    0x1a5  c2-0c0s9n1  compute        up       batch
   422    0x1a6  c2-0c0s9n2  compute        up       batch
   423    0x1a7  c2-0c0s9n3  compute        up       batch
   424    0x1a8 c2-0c0s10n0  compute        up       batch
   425    0x1a9 c2-0c0s10n1  compute        up       batch
   426    0x1aa c2-0c0s10n2  compute        up       batch
   427    0x1ab c2-0c0s10n3  compute        up       batch
   428    0x1ac c2-0c0s11n0  compute        up       batch
   429    0x1ad c2-0c0s11n1  compute        up       batch
   430    0x1ae c2-0c0s11n2  compute        up       batch
   431    0x1af c2-0c0s11n3  compute        up       batch
